Date,Title,URL,Project,Tags,Favorite,Notion_ID
2025-07-10,default template,https://chatgpt2notion.com,,"[""ChatGPT""]",__NO__,
2026-02-17,Réduire temporisation ventilateur,https://chatgpt.com/c/699389b9-ff10-8326-9147-8d276b46ce46,,None,__NO__,
2026-02-17,Translation request,https://chatgpt.com/c/6994bfec-4348-832f-868e-87a5d147dfbe,,None,__NO__,
2026-02-18,Naturalisation facilitée Suisse,https://chatgpt.com/c/6994a6e7-ccac-832a-becc-b99a8a9cfc55,,None,__NO__,
2026-02-19,Stratégie marketing immobilier,https://chatgpt.com/c/69971c5d-26c8-8392-9a0d-9c3eb2956a24,,None,__NO__,
2026-02-20,Pelle à neige Avalanche S1000,https://chatgpt.com/c/69983a53-5428-832d-bec5-0668f4f520fd,,None,__NO__,
2026-02-20,Introduction conversation,https://chatgpt.com/c/69988731-752c-832e-8d2c-1c67729b8a5a,,None,__NO__,
2026-02-21,AI in Gaming & Film,https://chatgpt.com/c/69993330-6750-832f-831a-a81d19143604,,None,__NO__,
2026-02-21,Private Equity Deal Analysis,https://chatgpt.com/c/699904cb-4dc0-8325-b854-887c033d3e92,,None,__NO__,
2026-02-21,Private Equity Deal Analysis,https://chatgpt.com/c/699904cb-4dc0-8325-b854-887c033d3e92,,None,__NO__,
2026-02-27,Connexion projecteur Sonos Arc,https://chatgpt.com/c/69a1ec3a-d4f0-8328-ac4f-0c39deffd083,,None,__NO__,
2026-02-27,Extension Activation Guide,https://chatgpt.com/c/69a20cca-bae4-8325-90e6-640ea64b2370,,None,__NO__,
2026-02-27,Relier Sonos TV Projecteur,https://chatgpt.com/c/69626ef2-a188-832d-aa48-fc06291d1d56,,None,__NO__,
2026-02-28,Analyse catastrophes mortelles,https://chatgpt.com/c/698794cc-2cb8-832b-bf51-b91716dcbd4d,,None,__NO__,
2026-02-28,Impact gouvernemental sur Anthropic,https://chatgpt.com/c/69a2fa70-8f4c-832d-ac64-e9ed51cbaa61,,None,__NO__,
2026-02-28,Expressions avec canard,https://chatgpt.com/c/69a33789-4bf0-8328-9528-24028e031c5a,,None,__NO__,
2026-02-28,Project context sharing,https://chatgpt.com/c/69a364f3-9ad4-8326-93eb-a189cb82f2bf,,None,__NO__,
2026-03-01,WWWWW,https://chatgpt.com/c/69a36535-8d00-832a-8463-15c98e9951d1,,None,__NO__,
2026-03-01,Alignement planétaire 2026,https://chatgpt.com/c/69a37079-f470-832e-8cd8-db1dcba172a2,,None,__NO__,
2026-03-01,French to Italian Translator,https://chatgpt.com/c/69a43bab-819c-832a-b88b-b066ee2ff68e,,None,__NO__,
2026-03-02,Mac lent Dia bloqué,https://chatgpt.com/c/69a56990-1f4c-8332-8f38-5f8e44d790c0,,None,__NO__,
2026-03-02,APPS & Architecture MacBook M2,https://chatgpt.com/c/69a580cf-d3b8-8331-9b0a-264c542a3c79,,None,__NO__,
2026-03-02,Vérifier cryptos Ledger 2024,https://chatgpt.com/c/69a5b13a-1af0-8330-b53c-fd415c2ef1ef,,None,__NO__,
2026-03-02,Trouver transformateur adapté,https://chatgpt.com/c/69a5b7ac-9230-832d-8786-cfa7316a6700,,None,__NO__,
2026-03-02,Regrouper sessions de chat,https://chatgpt.com/c/69a5b893-ce78-8325-a32a-749f6f60ef0b,,None,__NO__,
2026-03-02,Conundrum session longue,https://chatgpt.com/c/69a5e927-6190-832c-a6ce-dc59fd72c87c,,None,__NO__,
2026-03-02,Fichier contact à télécharger,https://chatgpt.com/c/69a6003e-e250-8333-96ae-eac3ed37560f,,None,__NO__,
2026-03-03,Sintra AI Blog Review,https://chatgpt.com/c/69a62adb-2a70-8330-8afa-6d10ca8aad62,,None,__NO__,
2026-03-03,Réécriture email professionnelle,https://chatgpt.com/c/69a6cd22-67f4-8328-b8a9-89b42df41670,,None,__NO__,
2026-03-03,SpaceX Valuation & IPO,https://chatgpt.com/c/69a715cd-0214-832b-84b4-3be5a89429a8,,None,__NO__,
2026-03-03,Discussion générale ouverte,https://chatgpt.com/c/69a72d84-5ba4-8388-8d78-47861ac46137,,None,__NO__,
2026-03-04,Monétisation de yOS,https://chatgpt.com/c/69a770e8-e184-8327-8bf5-396f0ad4d677,,None,__NO__,
2026-03-04,LangGraph CrewAI et agents,https://chatgpt.com/c/69a781bb-abbc-832b-bd24-c323b6530eb0,,None,__NO__,
2026-03-04,Shipment Tracking Explanation,https://chatgpt.com/c/69a85fca-1640-832a-b1ab-b3360597558e,,None,__NO__,
2026-03-05,Sociétés second market PE,https://chatgpt.com/c/69a85da5-b1a8-8332-a878-7273a244bd56,,None,__NO__,
2026-03-05,Investment Multiple Calculation,https://chatgpt.com/c/69a8d956-584c-8329-adaf-6054cddf97f7,,None,__NO__,
2026-03-05,Tracking Translation,https://chatgpt.com/c/69a98e65-d63c-8331-843f-5a2f754cdc66,,None,__NO__,
2026-03-05,Fichiers contact salons,https://chatgpt.com/c/69a9b77d-1e78-832f-ab0c-32323fa1d1d5,,None,__NO__,
2026-03-05,Simple Project Hub Solutions,https://chatgpt.com/c/69a9dfc3-333c-832a-8173-49d06b0a887e,,None,__NO__,
2026-03-06,Buckminster Fuller Design Civilisationnel,https://chatgpt.com/c/69aa26bf-4924-8385-bc9b-51c0e1a91ead,,None,__NO__,
2026-03-06,Kubera - Top 1% Status,https://chatgpt.com/g/g-6813967179788191ab068fa241d89e65-kubera/c/69aa341a-753c-8384-b162-b3cb14a7238a,,"[""Part""]",__NO__,
2026-03-06,Kubera - Top 1% Status,https://chatgpt.com/g/g-6813967179788191ab068fa241d89e65-kubera/c/69aa341a-753c-8384-b162-b3cb14a7238a,,"[""Part""]",__NO__,
2026-03-06,Top 1% Status,https://chatgpt.com/c/69aa341a-753c-8384-b162-b3cb14a7238a,,None,__NO__,
2026-03-06,Notion Page Access Query,https://chatgpt.com/c/69aa3776-a03c-832f-9e3a-5e8e87623ed0,,None,__NO__,
2026-03-06,Taormina View and Sculpture,https://chatgpt.com/c/69aaa0df-b728-8396-a485-ee4de5f75647,,None,__NO__,
2026-03-06,Conversations variées,https://chatgpt.com/c/69aae6a0-86d4-832e-9d5f-5e3af08dfcd2,,None,__NO__,
2026-03-06,Kutat komesas,https://chatgpt.com/c/69aae6e0-51d4-8328-8d2d-4ab55fd6cfeb,,None,__NO__,
2026-03-07,OpenWebUI et faiblesses Stacks,https://chatgpt.com/c/69ab1b4b-bf20-832c-83fa-14fc4f8aa3c9,,None,__NO__,
2026-03-07,YANTRA MVP Autonome,https://chatgpt.com/c/69ab7229-7a98-832d-b411-9e57a47d5eec,,None,__NO__,
2026-03-07,Adaptation morphologique et climat,https://chatgpt.com/c/69ac09ad-2968-832a-bf5a-d6431bfeca2d,,None,__NO__,
2026-03-07,Mémoire ChatGPT Nettoyage,https://chatgpt.com/c/69ab0a33-c2e8-8385-8c1d-2e5ab4623e9c,,None,__NO__,
2026-03-07,Langage géométrique CERIS,https://chatgpt.com/c/69ac72e5-8e94-832a-88cc-ef15f921f234,,None,__NO__,
2026-03-08,AR Glasses Subtitles Tech,https://chatgpt.com/c/69acc5f7-1c10-832a-a604-1d514dd9385f,,None,__NO__,
2026-03-08,Bespoke Jet Plus vs AI Jet,https://chatgpt.com/c/69adaffe-a8e8-832b-a59d-6a3536eff990,,None,__NO__,
2026-03-08,Home automation struggle,https://chatgpt.com/c/69ac1283-7874-8332-85f3-666c87ad8e35,,None,__NO__,
2026-03-08,Bonne affaire powerbank 100W,https://chatgpt.com/c/69acad40-e624-8328-b631-21270378e990,,None,__NO__,
2026-03-09,Rassembler les chats,https://chatgpt.com/c/69ade605-8cd0-832d-a1c8-daaf9b27d347,,None,__NO__,
2026-03-09,Stadler Form Google Home Integration,https://chatgpt.com/c/69ae7e26-74a4-8332-b6d7-aee314c68e4a,,None,__NO__,
2026-03-09,Remboursement commande Samsung,https://chatgpt.com/c/69aea009-990c-8332-a388-25ffd2b9bcac,,None,__NO__,
2026-03-09,Droits entrée/sortie animaux,https://chatgpt.com/c/69ae98ef-5424-8327-a127-a710a138d1c6,,None,__NO__,
2026-03-14,Archi 3D,https://chatgpt.com/c/69b425b7-ac58-8330-85b3-c4fc44c42042,,None,__NO__,
2026-03-14,Ajouter eau Spray Spinning,https://chatgpt.com/c/69b3df83-5998-8327-a68a-f8a8c989ee7e,,None,__NO__,
2026-03-14,Greeting and Assistance,https://chatgpt.com/c/69b56960-8c68-832c-8504-68d3a4c0bc2a,,None,__NO__,
2026-03-14,Hi there,https://chatgpt.com/c/69b56e4d-309c-8327-97ea-008161e8bac2,,None,__NO__,
2026-03-14,Système Stellaire Cognitif,https://chatgpt.com/c/69b4c11b-f0c8-8326-9182-ce1c35b89f12,,None,__NO__,
2026-03-14,Protection solaire médicale,https://chatgpt.com/c/69b596f8-1724-8329-80d1-8e76f59a8356,,None,__NO__,
2026-03-14,Problème écran Pintura,https://chatgpt.com/c/69b59d1b-c35c-8329-bef7-240a1a614e8c,,None,__NO__,
2026-03-14,Modification image baignoire,https://chatgpt.com/c/69b5677c-96dc-8390-8650-ccfbab57a1b9,,None,__NO__,
