source_id,title,curated_239_member,raw_body_present,verbatim_present,fact_sheet_present,summary_present,strict_complete_committed_git,raw_body_paths,verbatim_paths,fact_sheet_paths,summary_paths,canon_promoted
6a6a769b-539c-83eb-83ea-834c83691bdb,🔀 FUSION 2 🔀,False,False,False,False,False,False,,,,,False
6a6a9480-72d8-83eb-9d74-1d455a2b9a7e,Plan journée Montfort,False,False,False,False,False,False,,,,,False
6a5de467-6844-83eb-9a4f-849597c24605,☯️☯️☯️ FUSION2 2 ☯️☯️☯️,True,False,False,False,False,False,,,,,False
6a62566a-9b14-83eb-90a9-83c700b9f331,🔀 FUSION 1 🔀,False,False,False,False,False,False,,,,,False
6a13fc9e-41fc-838e-a14b-cddfb39239e5,🚀 MISSION CONTROL 🚀,True,False,False,False,False,False,,,,,False
6a6a6b97-33cc-83eb-8c63-704f591f00ad,Problème Brave Coherence X,False,False,False,False,False,False,,,,,False
6a6a6af1-173c-83eb-a9db-c2c76b093c74,Universe vs Butlerbrain,False,False,False,False,False,False,,,,,False
6a6694d9-5238-83eb-9973-57e0d51e451a,🏺 ARCHEO 🏺,False,False,False,False,False,False,,,,,False
6a4506ef-2d68-83ed-8fe5-b2cc357bff0c,(KAP Phase 1 Introduction),True,False,False,False,False,False,,,,,False
6a467b9d-3ae8-83eb-976a-bda4bfc90e76,(KAP PROCESS),True,False,False,False,False,False,,,,,False
6a669427-8558-83eb-8bac-7236150635da,((🏛️ MAESTRO 🏛️)),False,False,False,False,False,False,,,,,False
6a57a3ac-17d0-83ed-ae89-f55eeeba3afd,Omega Wake-up Audit,True,False,False,False,False,False,,,,,False
6a57a564-a6c0-83eb-b7f0-e99348244915,-O- Généalogie de l'Œuvre,True,False,False,False,False,False,,,,,False
6a5aa6e9-2828-83eb-b29b-33f1f40f985a,--GARDEN--,True,False,False,False,False,False,,,,,False
6a60d4db-2a24-83eb-b5d3-628caef31b21,JACUZZI,False,False,False,False,False,False,,,,,False
6a65481f-e8a0-83eb-8af4-90fe0dd469de,👫 YOS CANON & Y-TEAM -HQ 🏢,False,False,False,False,False,False,,,,,False
6a67e4f0-f884-83eb-8ec3-784372399870,Traitement Git Queue,False,False,False,False,False,False,,,,,False
6a67e73b-8a04-83eb-9fca-782acf51e7f3,Audit GitHub Key Document,False,False,False,False,False,False,,,,,False
6a67e3a3-9928-83eb-bfeb-b4e36e89809b,Instructions GitHub avancées,False,False,False,False,False,False,,,,,False
6a67d86b-fdac-83eb-a00b-2df3f24622a8,Exécution séquence GitHub,False,False,False,False,False,False,,,,,False
6a67e4b9-9254-83eb-bd7c-4fa481bfb111,Vérification d'intégration Git,False,False,False,False,False,False,,,,,False
6a67ea56-fcec-83eb-ba0a-b54444748861,Opération Git Offline Queue,False,False,False,False,False,False,,,,,False
6a67e6b7-e068-83eb-ba22-4a2291be24a7,Opération GitHub intégrale,False,False,False,False,False,False,,,,,False
6a67f1d5-0a3c-83ed-b4ff-26f17a1cc2dc,GitHub Queue Management,False,False,False,False,False,False,,,,,False
6a5de469-7390-83eb-b069-71e5ab5b7041,(Omega Notion Takeout Day Shift,True,False,False,False,False,False,,,,,False
6a5e47d4-ece4-83ed-ac78-9c71e5bef49a,(OMEGA audit converged with key gaps remaining,True,False,False,False,False,False,,,,,False
6a524832-92ac-83eb-9a6d-c144bcfaf439,--- ARCHI FINALE YOS ---,True,False,False,False,False,False,,,,,False
6a67f118-9e6c-83eb-814c-c72a0e1c4e08,Vérification Key Document Git,False,False,False,False,False,False,,,,,False
6a561560-2318-83ed-95df-fe9fe381af31,# PILOT/CONTROL Process & Cokpit ---,True,False,False,False,False,False,,,,,False
6a5d690b-3cec-83ed-884c-98a383712258,Nightly hardening validated with 15 tests passing,True,False,False,False,False,False,,,,,False
6a57a344-23fc-83eb-bfb6-a109873a1305,-O- Atlas Chroniques Consolidation-,True,False,False,False,False,False,,,,,False
6a5d6506-f578-83eb-9baa-6fc6a6e9daf0,MAP WAVE 001 artifacts prepared,True,False,False,False,False,False,,,,,False
6a4387f8-2fac-83ed-9872-6852a452f623,### OMEGA - ŒUVRE  Control Tower --,True,False,False,False,False,False,,,,,False
6a21fdad-1768-8333-8703-cbef860800da,ARCHI CIVI (et mem0),True,False,False,False,False,False,,,,,False
6a68a578-e2f8-83eb-8bfb-9ebdac0306d5,Image traduite en italien,False,False,False,False,False,False,,,,,False
6a680340-1b5c-83eb-8248-c9de8591595c,Compendium des connaissances utilisateur,False,False,False,False,False,False,,,,,False
6a65afd3-ddec-83ed-ae6d-3b5f06739502,Festival Cor des Alpes,False,False,False,False,False,False,,,,,False
6a65ad00-ee98-83eb-8e6a-50118081db50,WhatsApp Car Audio Watch,False,False,False,False,False,False,,,,,False
6a65d269-9f28-83eb-bd0c-38e1868f6666,Monitorer WhatsApp Mac,False,False,False,False,False,False,,,,,False
6a65cb20-6270-83eb-b386-5a118dff6bfa,Test de communication,False,False,False,False,False,False,,,,,False
6a653d5a-0404-83eb-bf04-0c1ec5014c00,Gestionnaire de contextes Mac,False,False,False,False,False,False,,,,,False
6a65022f-6f10-83eb-9051-cfd5ad0ca164,Cartes De Suisse,False,False,False,False,False,False,,,,,False
6a631037-a930-83ed-a519-8282acacf5ff,Galaxy Z Fold,False,False,False,False,False,False,,,,,False
6a5e6fd5-5784-83ed-b3d2-d6a26689d44e,WhatsApp Export and LLM Access,True,False,False,False,False,False,,,,,False
6a634c11-37ec-83eb-9d35-437a1a016a2c,Extension collerette plastique,False,False,False,False,False,False,,,,,False
6a60e1d8-2ff8-83eb-a39c-13fd7e6f0ad4,Document Summary Assistance,False,False,False,False,False,False,,,,,False
6a5f8f44-b584-83eb-b0d3-ea5ba0dca516,swarm,False,False,False,False,False,False,,,,,False
6a5d5957-bd80-83eb-905c-986ec2a0190a,OMEGA Audit Long Run,True,False,False,False,False,False,,,,,False
6a5e4649-f5ec-83ed-bf66-8adaf44adabc,Run the corrected crawler to unblock MAP WAVE 001,True,False,False,False,False,False,,,,,False
6a5e463d-cba8-83ed-801d-1e0ecfbe2b31,Audit final non clôturé avec lacunes bloquantes,True,False,False,False,False,False,,,,,False
6a5e2f9d-f728-83eb-9c58-f5503602e13b,Omega Notion Takeout Final Sprint,True,False,False,False,False,False,,,,,False
6a5697e1-1898-83eb-a906-415b6562a992,Clôture Notion Takeout,True,False,False,False,False,False,,,,,False
6a5de6ee-6dbc-83ed-afe0-62af72592ec8,cleanup sessions ChatGPT,True,False,False,False,False,False,,,,,False
6a5c405f-9580-83eb-9e8e-de8f59e1338e,Continuity Handoff Watch,True,False,False,False,False,False,,,,,False
6a5dd2f3-628c-83eb-9e6e-e5a3645951e7,GitHub Action Request,True,False,False,False,False,False,,,,,False
6a5dd95a-25e8-83eb-ab4a-995641ebaa75,Validate crawl evidence first,True,False,False,False,False,False,,,,,False
6a55744e-07ac-83eb-b1bc-a1bbe0861841,ORBIT Merge Block,True,False,False,False,False,False,,,,,False
6a5dc79b-c0f0-83ed-a00b-db46de3e59dc,Release 1 ready for staging with OAuth blocker,True,False,False,False,False,False,,,,,False
6a1d4631-535c-8326-a09d-87dc79b52f23,NIGHT crypto growth analysis,True,False,False,False,False,False,,,,,False
6a5dc559-8a34-83eb-b713-9683b549f273,Package OMEGA v0.7 prêt pour checkpoint,True,False,False,False,False,False,,,,,False
6a5dc0da-ac4c-83eb-af8a-677290062f5c,Mosaic with Watercolor Effect,False,False,False,False,False,False,,,,,False
6a5dbad5-c3b4-83eb-9d39-6afbaa8a7f3f,Récupérer le crawl Manus pour débloquer MAP-WAVE-001,True,False,False,False,False,False,,,,,False
6a5c9039-e4c0-83eb-ba73-f8510cf20aa0,Outils stabilité connexion,True,False,False,False,False,False,,,,,False
6a5ce60f-aae8-83eb-9d72-7813cadcd73e,Code session expiré TeamViewer,False,False,False,False,False,False,,,,,False
6a5c3940-7e88-83eb-ad05-5a555d3d01c3,Connecter LLM à pCloud,True,False,False,False,False,False,,,,,False
6a5c2e09-9774-83eb-9474-878098cf3337,Comparatif forfaits téléphonie,False,False,False,False,False,False,,,,,False
6a5bb1ec-6534-83eb-9dfb-cddff62a9e52,Soutien en cas de douleur,False,False,False,False,False,False,,,,,False
6a5b1287-6424-83ed-9238-6bba6a60302d,ARIANE - Visual Memory Studio (VMS),True,False,False,False,False,False,,,,,False
6a5ac0db-700c-83eb-a585-8a2e8dbdca01,Skill Goodnight création,True,False,False,False,False,False,,,,,False
6a59d7f8-5fcc-83ed-9c97-0932e68020e9,FAMILY CONNECT,True,False,False,False,False,False,,,,,False
6a593d15-4a7c-83eb-a172-0cbe3c570f13,Dashboard rattrapage emails,True,False,False,False,False,False,,,,,False
6a590f42-dd00-83eb-802d-46151bcbc8c0,Canon créatif universel,True,False,False,False,False,False,,,,,False
6a58ed47-a550-83eb-ab11-d26dd453ae4b,#MAIN — CREATIVE WORLDS(World Governance & Coordination),True,False,False,False,False,False,,,,,False
6a58ed91-59b0-83eb-816e-10e47c27dc16,#MAIN — LIFE OS(World Governance & Coordination),True,False,False,False,False,False,,,,,False
